time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2129.5,-3.0507812,-5.9453125,-8.921875
2130.5,-3.0585938,-5.9609375,-8.941406
2131.5,-3.0703125,-5.9726562,-8.9609375
2132.5,-3.0742188,-5.9882812,-8.984375
2133.5,-3.0859375,-5.9960938,-9.003906
2134.5,-3.0898438,-6.0117188,-9.0234375
2135.5,-3.0976562,-6.0234375,-9.042969
2136.5,-3.1054688,-6.0351562,-9.0625
2137.5,-3.1132812,-6.046875,-9.082031
2138.5,-3.1171875,-6.0585938,-9.1015625
2139.5,-3.1210938,-6.0742188,-9.121094
2140.5,-3.1289062,-6.0859375,-9.140625
2141.5,-3.1367188,-6.09375,-9.160156
2142.5,-3.1445312,-6.109375,-9.1796875
2143.5,-3.1484375,-6.1171875,-9.199219
2144.5,-3.1523438,-6.1289062,-9.21875
2145.5,-3.1601562,-6.140625,-9.238281
2146.5,-3.1640625,-6.1484375,-9.253906
2147.5,-3.1679688,-6.1601562,-9.2734375
2148.5,-3.171875,-6.171875,-9.292969
2149.5,-3.1757812,-6.1835938,-9.308594
2150.5,-3.1796875,-6.1953125,-9.332031
2151.5,-3.1875,-6.203125,-9.347656
2152.5,-3.1914062,-6.2148438,-9.3671875
2153.5,-3.1953125,-6.2226562,-9.3828125
2154.5,-3.203125,-6.2304688,-9.3984375
2155.5,-3.2070312,-6.2382812,-9.4140625
2156.5,-3.2148438,-6.2539062,-9.4296875
2157.5,-3.21875,-6.2617188,-9.449219
2158.5,-3.2226562,-6.2695312,-9.464844
2159.5,-3.2304688,-6.2773438,-9.480469
2160.5,-3.2304688,-6.2851562,-9.496094
2161.5,-3.2421875,-6.296875,-9.515625
2162.5,-3.2421875,-6.3085938,-9.53125
2163.5,-3.25,-6.3125,-9.550781
2164.5,-3.2539062,-6.328125,-9.5625
2165.5,-3.2617188,-6.3320312,-9.578125
2166.5,-3.2617188,-6.34375,-9.59375
2167.5,-3.2695312,-6.3515625,-9.605469
2168.5,-3.2695312,-6.359375,-9.625
2169.5,-3.2773438,-6.3671875,-9.640625
2170.5,-3.28125,-6.3789062,-9.65625
2171.5,-3.2890625,-6.3867188,-9.675781
2172.5,-3.2890625,-6.3984375,-9.691406
2173.5,-3.2929688,-6.4023438,-9.699219
2174.5,-3.296875,-6.4140625,-9.714844
