time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2127.5,-0.0039510727,-0.007686138,-0.011395931
2128.5,-0.003988743,-0.0077590942,-0.011503696
2129.5,-0.004029274,-0.007833004,-0.011609554
2130.5,-0.0040659904,-0.007909298,-0.011714458
2131.5,-0.0041046143,-0.007985592,-0.011822224
2132.5,-0.0041451454,-0.008063316,-0.0119280815
2133.5,-0.004184723,-0.008138657,-0.01203537
2134.5,-0.0042238235,-0.008214951,-0.012143612
2135.5,-0.0042624474,-0.0082883835,-0.0122509
2136.5,-0.004298687,-0.008358955,-0.012355804
2137.5,-0.00433445,-0.00842762,-0.012459755
2138.5,-0.004369259,-0.008495808,-0.012562275
2139.5,-0.004404068,-0.008561134,-0.012661457
2140.5,-0.004439831,-0.008627415,-0.012758732
2141.5,-0.0044760704,-0.008693218,-0.012852192
2142.5,-0.0045104027,-0.008757114,-0.012945652
2143.5,-0.004545212,-0.008822918,-0.013038635
2144.5,-0.0045804977,-0.008887768,-0.013130665
2145.5,-0.00461483,-0.008951664,-0.013224125
2146.5,-0.004646778,-0.009012699,-0.013313293
2147.5,-0.004678726,-0.009073734,-0.013400078
2148.5,-0.0047101974,-0.009133816,-0.013485432
2149.5,-0.004740715,-0.00919199,-0.013568401
2150.5,-0.004770756,-0.00924921,-0.0136499405
2151.5,-0.004799843,-0.009305954,-0.013729095
2152.5,-0.004828453,-0.009358883,-0.013806343
2153.5,-0.0048561096,-0.009413719,-0.013883591
2154.5,-0.004883766,-0.009466648,-0.013958931
2155.5,-0.004913807,-0.009519577,-0.014034748
2156.5,-0.0049414635,-0.009569645,-0.014108181
2157.5,-0.004969597,-0.009621143,-0.014179707
2158.5,-0.0049977303,-0.009671211,-0.014251232
2159.5,-0.00502491,-0.0097203255,-0.014322758
2160.5,-0.005048752,-0.009767532,-0.014390945
2161.5,-0.0050730705,-0.009814262,-0.014456749
2162.5,-0.005097389,-0.009860516,-0.014523506
2163.5,-0.0051207542,-0.009906292,-0.0145897865
2164.5,-0.005145073,-0.009950638,-0.014654636
2165.5,-0.0051698685,-0.009996891,-0.014719009
2166.5,-0.005194187,-0.010041714,-0.014781952
2167.5,-0.0052189827,-0.01008749,-0.014845371
2168.5,-0.005241871,-0.010132313,-0.014908791
2169.5,-0.005264759,-0.010175228,-0.014970779
2170.5,-0.0052862167,-0.010216236,-0.015029907
2171.5,-0.0053076744,-0.010256767,-0.015087128
2172.5,-0.0053281784,-0.010296822,-0.015142441
2173.5,-0.0053491592,-0.010336876,-0.015197754
2174.5,-0.0053696632,-0.010376453,-0.015253067
2175.5,-0.005390644,-0.010416508,-0.015307903
2176.5,-0.0054101944,-0.010455608,-0.015362263
2177.5,-0.005429268,-0.010494709,-0.015417576
2178.5,-0.0054483414,-0.010532379,-0.015470505
2179.5,-0.005466461,-0.010570049,-0.015524387
2180.5,-0.005484581,-0.010606766,-0.015576363
2181.5,-0.005501747,-0.0106425285,-0.015628338
2182.5,-0.00551939,-0.010677338,-0.015678883
2183.5,-0.0055365562,-0.010710716,-0.01572895
2184.5,-0.0055537224,-0.010743618,-0.015778065
2185.5,-0.0055704117,-0.010776043,-0.015825272
2186.5,-0.005587101,-0.010807514,-0.015870571
2187.5,-0.0056037903,-0.010839462,-0.015915394
2188.5,-0.005619526,-0.01086998,-0.01595974
2189.5,-0.0056347847,-0.010898113,-0.016002655
