time,104 GtCO2 temporary storage vs. permanent removal,200 GtCO2 temporary storage vs. permanent removal,296 GtCO2 temporary storage vs. permanent removal
2162.5,0.13296509,0.25497437,0.37722778
2163.5,0.1328125,0.2546997,0.37695312
2164.5,0.13278198,0.2545166,0.3767395
2165.5,0.13311768,0.2546997,0.37680054
2166.5,0.13330078,0.255188,0.37716675
2167.5,0.13336182,0.2555542,0.37774658
2168.5,0.1335144,0.2558899,0.37820435
2169.5,0.13372803,0.25631714,0.37872314
2170.5,0.13406372,0.25686646,0.37939453
2171.5,0.13439941,0.2574768,0.38027954
2172.5,0.13491821,0.2583313,0.38153076
2173.5,0.13549805,0.25930786,0.38293457
2174.5,0.13613892,0.26046753,0.38464355
2175.5,0.1368103,0.26171875,0.38653564
2176.5,0.13757324,0.26306152,0.3885498
2177.5,0.13809204,0.26434326,0.39059448
2178.5,0.1387024,0.26550293,0.3925476
2179.5,0.13931274,0.26663208,0.3942566
2180.5,0.13989258,0.26782227,0.39587402
2181.5,0.14056396,0.26898193,0.397583
2182.5,0.14123535,0.2701416,0.39935303
2183.5,0.14190674,0.27142334,0.40112305
2184.5,0.14260864,0.2727356,0.40307617
2185.5,0.1434021,0.2741394,0.4050598
2186.5,0.14419556,0.27563477,0.40719604
2187.5,0.14498901,0.27722168,0.40948486
2188.5,0.1458435,0.2788086,0.41177368
2189.5,0.14654541,0.280365,0.41403198
2190.5,0.14727783,0.28186035,0.41629028
2191.5,0.14801025,0.2833557,0.41848755
2192.5,0.14892578,0.28503418,0.42080688
2193.5,0.14974976,0.28677368,0.42321777
2194.5,0.15060425,0.28863525,0.4256897
2195.5,0.15136719,0.2902527,0.42822266
2196.5,0.15219116,0.29180908,0.43060303
2197.5,0.1529541,0.29336548,0.43286133
2198.5,0.15371704,0.29486084,0.4350891
2199.5,0.1545105,0.29632568,0.43728638
2200.5,0.15527344,0.29779053,0.43948364
2201.5,0.15600586,0.29925537,0.44158936
2202.5,0.1567688,0.3006897,0.4437561
2203.5,0.15753174,0.30215454,0.44586182
2204.5,0.15835571,0.3036499,0.44805908
2205.5,0.1592102,0.3052063,0.45025635
2206.5,0.16003418,0.3067932,0.45251465
2207.5,0.16079712,0.3083496,0.45480347
2208.5,0.16152954,0.309906,0.45706177
2209.5,0.16226196,0.31140137,0.45932007
2210.5,0.16299438,0.31289673,0.46148682
2211.5,0.16381836,0.31445312,0.4637146
2212.5,0.16488647,0.31622314,0.46618652
2213.5,0.16583252,0.31802368,0.46871948
2214.5,0.16656494,0.31970215,0.47122192
2215.5,0.16726685,0.32131958,0.47369385
2216.5,0.16796875,0.3227234,0.47610474
2217.5,0.16867065,0.32406616,0.478302
2218.5,0.16937256,0.32543945,0.48034668
2219.5,0.17010498,0.32678223,0.4822998
2220.5,0.1708374,0.32815552,0.48428345
2221.5,0.17160034,0.3295288,0.4862976
2222.5,0.17236328,0.33096313,0.4883728
2223.5,0.17318726,0.3324585,0.490448
2224.5,0.17416382,0.33413696,0.49276733
2225.5,0.1751709,0.33584595,0.4951477
2226.5,0.17590332,0.3374939,0.497406
2227.5,0.17654419,0.3390503,0.4996643
2228.5,0.17721558,0.34048462,0.5019226
2229.5,0.17791748,0.34176636,0.5041199
2230.5,0.1786499,0.3430481,0.50631714
2231.5,0.1796875,0.34466553,0.5085144
2232.5,0.18096924,0.34655762,0.51101685
2233.5,0.18200684,0.3484497,0.5135193
2234.5,0.18276978,0.3503418,0.5160217
2235.5,0.18344116,0.35214233,0.5185547
2236.5,0.18408203,0.3536682,0.52108765
2237.5,0.18475342,0.35494995,0.5235596
2238.5,0.18572998,0.35653687,0.526062
2239.5,0.18740845,0.35876465,0.5287781
2240.5,0.18930054,0.36117554,0.5317688
2241.5,0.19058228,0.36358643,0.5347595
2242.5,0.1913147,0.36590576,0.5376282
2243.5,0.19174194,0.3680725,0.5404663
2244.5,0.19216919,0.3696289,0.5432129
2245.5,0.19262695,0.370636,0.5459595
2246.5,0.1930542,0.37149048,0.548584
2247.5,0.19351196,0.37231445,0.5506592
2248.5,0.19396973,0.37322998,0.55215454
2249.5,0.19445801,0.3741455,0.5534363
2250.5,0.19503784,0.3751526,0.5548096
2251.5,0.1958313,0.3763733,0.5562744
2252.5,0.19671631,0.37771606,0.5579834
2253.5,0.19754028,0.3791504,0.559845
2254.5,0.19833374,0.38058472,0.5617981
2255.5,0.19897461,0.3821411,0.5638428
2256.5,0.19961548,0.383667,0.56588745
2257.5,0.20025635,0.38510132,0.5679016
2258.5,0.20077515,0.38638306,0.56985474
2259.5,0.20117188,0.3875122,0.5716858
2260.5,0.20153809,0.38848877,0.5734253
2261.5,0.20199585,0.38952637,0.57510376
2262.5,0.2024231,0.3904419,0.5767517
2263.5,0.20297241,0.39138794,0.5783081
2264.5,0.20376587,0.39257812,0.57995605
2265.5,0.2048645,0.39398193,0.5818176
2266.5,0.2062378,0.3956604,0.5839844
2267.5,0.20767212,0.39746094,0.5863037
2268.5,0.2090149,0.39941406,0.58877563
2269.5,0.20999146,0.4013672,0.591156
2270.5,0.2106018,0.40322876,0.5935974
2271.5,0.21102905,0.4050598,0.59588623
2272.5,0.21130371,0.40682983,0.59814453
2273.5,0.21157837,0.40847778,0.6003418
2274.5,0.21185303,0.4096985,0.602478
2275.5,0.21212769,0.41055298,0.6045532
2276.5,0.21240234,0.4111328,0.6065674
2277.5,0.212677,0.4116516,0.60849
2278.5,0.2130127,0.41210938,0.61035156
2279.5,0.2133789,0.41262817,0.61172485
2280.5,0.21374512,0.413208,0.61279297
2281.5,0.21414185,0.41378784,0.61364746
2282.5,0.21456909,0.41445923,0.6144104
2283.5,0.21502686,0.41519165,0.6152954
2284.5,0.2154541,0.4159851,0.616272
2285.5,0.2159729,0.4168396,0.6173096
2286.5,0.21646118,0.41766357,0.6183777
2287.5,0.21694946,0.41851807,0.61953735
2288.5,0.21743774,0.41940308,0.62075806
2289.5,0.21792603,0.42025757,0.62197876
2290.5,0.21838379,0.4211731,0.6232605
2291.5,0.21890259,0.42211914,0.62454224
2292.5,0.2194519,0.42303467,0.625885
2293.5,0.2199707,0.4239807,0.6272583
2294.5,0.22055054,0.4249878,0.6286316
2295.5,0.22113037,0.42596436,0.6300049
2296.5,0.22167969,0.42697144,0.6314087
2297.5,0.22225952,0.42797852,0.632843
2298.5,0.22286987,0.4289856,0.63430786
2299.5,0.22348022,0.4300232,0.6357727
2300.5,0.22406006,0.4310608,0.63726807
